segmentid,startdate,enddate,
676432,2010-01-01,2020-12-31,
1092540,2010-01-01,2020-12-31,
11656753,2010-01-01,2020-12-31,
1241362,2010-01-01,2020-12-31,
1144980,2010-01-01,2020-12-31,
22278826,2010-01-01,2020-12-31,
1960869,2010-01-01,2020-12-31,
7618404,2010-01-01,2020-12-31,
23891543,2010-01-01,2020-12-31,
2341236,2010-01-01,2020-12-31,
23893546,2010-01-01,2020-12-31,
23893711,2010-01-01,2020-12-31,
3369446,2010-01-01,2020-12-31,
22958867,2010-01-01,2020-12-31,
705188,2010-01-01,2020-12-31,
632351,2010-01-01,2020-12-31,
22958940,2010-01-01,2020-12-31,
6928890,2010-01-01,2020-12-31,
3794602,2010-01-01,2020-12-31,
2543157,2010-01-01,2020-12-31,
