segmentid,startdate,enddate,
789998,2017-04-01,2017-10-31,
1092755,2017-04-01,2017-10-31,
4431439,2017-04-01,2017-10-31,
1764048,2017-04-01,2017-10-31,
915185,2017-04-01,2017-10-31,
2987897,2017-04-01,2017-10-31,
934504,2017-04-01,2017-10-31,
1273659,2017-04-01,2017-10-31,
701806,2017-04-01,2017-10-31,
2341236,2017-04-01,2017-10-31,
14214114,2017-04-01,2017-10-31,
646914,2017-04-01,2017-10-31,
1108413,2017-04-01,2017-10-31,
2543157,2017-04-01,2017-10-31,
6690966,2017-04-01,2017-10-31,
878156,2017-04-01,2017-10-31,
816007,2017-04-01,2017-10-31,
16252105,2017-04-01,2017-10-31,
6696481,2017-04-01,2017-10-31,
6690931,2017-04-01,2017-10-31,
