segmentid,startdate,enddate,
1763275,2018-03-30,2018-10-31,
676432,2018-03-30,2018-10-31,
4189235,2018-03-30,2018-10-31,
1362684,2018-03-30,2018-10-31,
8064953,2018-03-30,2018-10-31,
7349822,2018-03-30,2018-10-31,
1021558,2018-03-30,2018-10-31,
701801,2018-03-30,2018-10-31,
7078897,2018-03-30,2018-10-31,
6688008,2018-03-30,2018-10-31,
854326,2018-03-30,2018-10-31,
4969828,2018-03-30,2018-10-31,
17096764,2018-03-30,2018-10-31,
3477884,2018-03-30,2018-10-31,
3794602,2018-03-30,2018-10-31,
16125654,2018-03-30,2018-10-31,
874830,2018-03-30,2018-10-31,
6690955,2018-03-30,2018-10-31,
5506768,2018-03-30,2018-10-31,
674658,2018-03-30,2018-10-31,
